mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
1,Mr,Georg,Jarzembowski,,,male,Germany,Braunschweig,03/02/1947 01:00,,https://www.europarl.europa.eu/mepphoto/1.jpg,,,,,,,https://data.europarl.europa.eu/person/1
3,Ms,Annemarie,Kuhn,,,female,Germany,Ludwigshafen,09/05/1937 01:00,,https://www.europarl.europa.eu/mepphoto/3.jpg,,,,,,,https://data.europarl.europa.eu/person/3
35,Ms,Brigitte,Langenhagen,,,female,Germany,Hamburg,08/12/1939 02:00,,https://www.europarl.europa.eu/mepphoto/35.jpg,,,,,,,https://data.europarl.europa.eu/person/35
233,Mr,Eolo,Parodi,,,male,Italy,Genova-Sestri,21/05/1926 01:00,03/04/2018 12:00,https://www.europarl.europa.eu/mepphoto/233.jpg,,,,,,,https://data.europarl.europa.eu/person/233
234,Mr,Sérgio,Ribeiro,,,male,Portugal,Lisboa,21/12/1935 02:00,,https://www.europarl.europa.eu/mepphoto/234.jpg,,,,,,,https://data.europarl.europa.eu/person/234
235,Mr,Marcel,Schlechter,,,male,Luxembourg,Luxembourg,09/07/1928 01:00,,https://www.europarl.europa.eu/mepphoto/235.jpg,,,,,,,https://data.europarl.europa.eu/person/235
357,Mr,John Alexander,Corrie,,,male,United Kingdom,Kirkcudbright (Scotland),29/07/1935 01:00,,https://www.europarl.europa.eu/mepphoto/357.jpg,,,,,,,https://data.europarl.europa.eu/person/357
683,Ms,Antoinette,Spaak,,,female,Belgium,Bruxelles,27/06/1928 01:00,,https://www.europarl.europa.eu/mepphoto/683.jpg,,,,,,,https://data.europarl.europa.eu/person/683
714,Mr,Giorgio,Ruffolo,,,male,Italy,Roma,14/08/1926 01:00,,https://www.europarl.europa.eu/mepphoto/714.jpg,,,,,,,https://data.europarl.europa.eu/person/714
717,Mr,Carlo,Ripa Di Meana,,,male,Italy,Pietrasanta (Lucca),15/08/1929 01:00,02/03/2018 01:00,https://www.europarl.europa.eu/mepphoto/717.jpg,,,,,,,https://data.europarl.europa.eu/person/717
840,Mr,Charles,Goerens,,,male,Luxembourg,Ettelbruck,06/02/1952 01:00,,https://www.europarl.europa.eu/mepphoto/840.jpg,mailto:charles.goerens@europarl.europa.eu,https://charlesgoerens.eu/,https://twitter.com/CharlesGoerens,https://www.facebook.com/charles.goerens,,https://www.instagram.com/cgoerens/?hl=fr,https://data.europarl.europa.eu/person/840
877,Mr,Doeke,Eisma,,,male,Netherlands,Den Haag,30/12/1939 02:00,,https://www.europarl.europa.eu/mepphoto/877.jpg,,,,,,,https://data.europarl.europa.eu/person/877
945,Ms,Nicole,Fontaine,,,female,France,Grainville-Ymauville (Seine-Maritime),16/01/1942 12:00,17/05/2018 12:00,https://www.europarl.europa.eu/mepphoto/945.jpg,,,,,,,https://data.europarl.europa.eu/person/945
947,Ms,Luciana,Castellina,,,female,Italy,Roma,09/08/1929 01:00,,https://www.europarl.europa.eu/mepphoto/947.jpg,,,,,,,https://data.europarl.europa.eu/person/947
953,Mr,Bartho,Pronk,,,male,Netherlands,Den Haag,28/09/1950 01:00,,https://www.europarl.europa.eu/mepphoto/953.jpg,,,,,,,https://data.europarl.europa.eu/person/953
955,Mr,Vassilis,Ephremidis,???????,??????????,male,Greece,Athina,31/12/1915 01:00,17/08/2000 12:00,https://www.europarl.europa.eu/mepphoto/955.jpg,,,,,,,https://data.europarl.europa.eu/person/955
956,Mr,Leo C.,Tindemans,,,male,Belgium,Zwijndrecht,16/04/1922 12:00,26/12/2014 01:00,https://www.europarl.europa.eu/mepphoto/956.jpg,,,,,,,https://data.europarl.europa.eu/person/956
961,Mr,José Antonio,Escudero,,,male,Estonia,Barbastro,12/10/1936 02:00,,https://www.europarl.europa.eu/mepphoto/961.jpg,,,,,,,https://data.europarl.europa.eu/person/961
964,Mr,António,Capucho,,,male,Portugal,Lisboa,03/01/1945 01:00,,https://www.europarl.europa.eu/mepphoto/964.jpg,,,,,,,https://data.europarl.europa.eu/person/964
966,Mr,Jean-Claude,Martinez,,,male,France,Sète,30/07/1945 12:00,,https://www.europarl.europa.eu/mepphoto/966.jpg,,,,,,,https://data.europarl.europa.eu/person/966
972,Mr,Tom,Spencer,,,male,United Kingdom,Nottingham,10/04/1948 01:00,,https://www.europarl.europa.eu/mepphoto/972.jpg,,,,,,,https://data.europarl.europa.eu/person/972
973,Mr,Helwin,Peter,,,male,Germany,Oberthal,18/07/1941 12:00,,https://www.europarl.europa.eu/mepphoto/973.jpg,,,,,,,https://data.europarl.europa.eu/person/973
981,Mr,Roger,Barton,,,male,United Kingdom,Sheffield,06/01/1945 01:00,,https://www.europarl.europa.eu/mepphoto/981.jpg,,,,,,,https://data.europarl.europa.eu/person/981
988,Mr,Carlo,Casini,,,male,Italy,Firenze,04/03/1935 02:00,23/03/2020 01:00,https://www.europarl.europa.eu/mepphoto/988.jpg,,,,,,,https://data.europarl.europa.eu/person/988
990,Mr,Enrico,Ferri,,,male,Italy,La Spezia,17/02/1942 12:00,17/12/2020 01:00,https://www.europarl.europa.eu/mepphoto/990.jpg,,,,,,,https://data.europarl.europa.eu/person/990
1001,Ms,Marie-José,Denys,,,female,France,La Rochelle,15/03/1950 01:00,12/01/2022 01:00,https://www.europarl.europa.eu/mepphoto/1001.jpg,,,,,,,https://data.europarl.europa.eu/person/1001
1002,Mr,Marco,Pannella,,,male,Italy,Teramo,02/05/1930 12:00,19/05/2016 12:00,https://www.europarl.europa.eu/mepphoto/1002.jpg,,,,,,,https://data.europarl.europa.eu/person/1002
